nom_communes, code_wilayas
Adrar,1
Akabli,1
Aoulef,1
Bouda,1
Fenoughil,1
In Zghmir,1
Ouled Ahmed Timmi,1
Reggane,1
Sali,1
Sebaa,1
Tamantit,1
Tamest,1
Timekten,1
Tit,1
Tsabit,1
Zaouiet Kounta,1
Abou El Hassan,2
Ain Merane,2
Benairia,2
Beni Bouattab,2
Beni Haoua,2
Beni Rached,2
Boukadir,2
Bouzeghaia,2
Breira,2
Chettia,2
Chlef,2
Dahra,2
El Hadjadj,2
El Karimia,2
El Marsa,2
Harchoun,2
Herenfa,2
Labiod Medjadja,2
Moussadek,2
Oued Fodda,2
Oued Goussine,2
Oued Sly,2
Ouled Abbes,2
Ouled Ben Abdelkader,2
Ouled Fares,2
Oum Drou,2
Sendjas,2
Sidi Abderrahmane,2
Sidi Akkacha,2
Sobha,2
Tadjena,2
Talassa,2
Taougrite,2
Tenes,2
Zeboudja,2
Aflou,3
Ain Mahdi,3
Ain Sidi Ali,3
Beidha,3
Benacer Benchohra,3
Brida,3
El Assafia,3
El Ghicha,3
El Haouaita,3
Gueltat Sidi Saad,3
Hadj Mechri,3
Hassi Delaa,3
Hassi R'mel,3
Kheneg,3
Ksar El Hirane,3
Laghouat,3
Oued M'zi,3
Oued Morra,3
Sebgag,3
Sidi Bouzid,3
Sidi Makhlouf,3
Tadjemout,3
Tadjrouna,3
Taouiala,3
Ain Babouche,4
Ain Beida,4
Ain Diss,4
Ain Fekroune,4
Ain Kercha,4
Ain M'lila,4
Ain Zitoun,4
Behir Chergui,4
Berriche,4
Bir Chouhada,4
Dhala,4
El Amiria,4
El Belala,4
El Djazia,4
El Fedjoudj Boughrara Sa,4
El Harmilia,4
Fkirina,4
Hanchir Toumghani,4
Ksar Sbahi,4
Meskiana,4
Oued Nini,4
Ouled Gacem,4
Ouled Hamla,4
Ouled Zouai,4
Oum El Bouaghi,4
Rahia,4
Sigus,4
Souk Naamane,4
Zorg,4
Ain Djasser,5
Ain Touta,5
Ain Yagout,5
Arris,5
Azil Abedelkader,5
Barika,5
Batna,5
Beni Foudhala El Hakania,5
Bitam,5
Boulhilat,5
Boumagueur,5
Boumia,5
Bouzina,5
Chemora,5
Chir,5
Djerma,5
Djezzar,5
El Hassi,5
El Madher,5
Fesdis,5
Foum Toub,5
Ghassira,5
Gosbat,5
Guigba,5
Hidoussa,5
Ichmoul,5
Inoughissen,5
Kimmel,5
Ksar Bellezma,5
Larbaa,5
Lazrou,5
Lemsane,5
M Doukal,5
Maafa,5
Menaa,5
Merouana,5
N Gaous,5
Oued Chaaba,5
Oued El Ma,5
